osm_id,name,advertising,lat,lon,geom_source
9307568034,(ohne Name),column,49.4363748,11.0753819,point
9307568160,(ohne Name),column,49.4365105,11.0827099,point
9371510419,(ohne Name),billboard,49.4380003,11.0738715,point
9421490618,(ohne Name),column,49.471496,11.1081063,point
9421512317,(ohne Name),column,49.4712218,11.1087514,point
9862106647,(ohne Name),totem,49.4929193,11.051835,point
9862106649,(ohne Name),column,49.4928096,11.0515159,point
9868470738,(ohne Name),column,49.4478252,11.0717648,point
9887839902,(ohne Name),column,49.4459661,11.1063711,point
10075393844,(ohne Name),column,49.4006284,11.0165152,point
10271561058,(ohne Name),column,49.466826,11.137007,point
10582189818,(ohne Name),billboard,49.3969448,11.1430025,point
10669048513,(ohne Name),NA,49.4638424,11.0160205,point
10669048514,(ohne Name),NA,49.4638084,11.0161114,point
10692749468,(ohne Name),column,49.4793662,11.1906847,point
10720701656,(ohne Name),NA,49.4651236,11.0464882,point
10720701657,(ohne Name),NA,49.4650728,11.04658,point
10757234496,(ohne Name),billboard,49.4232325,11.012352,point
11159838726,(ohne Name),column,49.4737366,11.0674426,point
11298376904,(ohne Name),NA,49.4703965,11.106947,point
11298376905,(ohne Name),NA,49.4703922,11.1069465,point
11298376906,(ohne Name),NA,49.4703889,11.1069508,point
11298376907,(ohne Name),NA,49.4703886,11.1069575,point
11298376908,(ohne Name),NA,49.4703914,11.1069625,point
11298376909,(ohne Name),NA,49.4703957,11.106963,point
11298376910,(ohne Name),NA,49.470399,11.1069586,point
11298376911,(ohne Name),NA,49.4703993,11.106952,point
11408409125,(ohne Name),billboard,49.4236217,11.0115164,point
11512041009,(ohne Name),totem,49.3597599,11.2531981,point
11513601664,(ohne Name),totem,49.3525412,11.2712974,point
11543133161,(ohne Name),board,49.3319856,11.280842,point
11543144995,(ohne Name),board,49.3319846,11.2805383,point
11734341182,(ohne Name),column,49.4432943,11.1012219,point
11775263257,(ohne Name),column,49.4351448,11.0929774,point
11781091192,(ohne Name),column,49.4647663,11.0002317,point
11891709908,(ohne Name),sign,49.4265763,11.0486302,point
12043686035,(ohne Name),totem,49.3772532,11.2157937,point
12081302358,(ohne Name),column,49.4510493,11.0597647,point
12081311271,(ohne Name),column,49.4517088,11.0673097,point
12083537915,(ohne Name),column,49.4498669,11.0853119,point
12138649420,(ohne Name),column,49.4390469,11.0366769,point
12186677356,(ohne Name),billboard,49.3917392,11.0341628,point
12187504853,(ohne Name),billboard,49.4199969,11.035908,point
12187506406,(ohne Name),billboard,49.4206963,11.0357124,point
12187507307,(ohne Name),billboard,49.3889255,11.0327147,point
